EQ1.1 : 2006.0192
E
AIGI	2015.94520	0.00000
AMFI	2015.89600	-7.03445
ANOC	2015.87680	-0.57704
ARSA	2015.87680	-1.40628
ART1	2015.87680	-0.70822
ASSO	2015.94520	0.00000
DRA1	2015.89600	0.00000
EGIO	2016.51200	0.00000
EXAN	2015.89870	0.00000
EYPA	2015.87680	1.18012
FISK	2015.91790	0.00000
GAL3	2015.87680	3.00320
GEYB	2015.88230	2.02125
HIMA	2015.87680	0.09107
IGOU	2015.87680	0.67157
ITEA	2015.87680	0.71172
KARP	2015.87680	-0.67853
KASI	2015.87680	3.69217
KIPO	2015.88230	0.00000
KLOK	2015.87680	0.21067
KOPA	2015.87680	0.41140
KOUN	2015.87680	-4.42723
KRDI	2015.87680	-1.39626
KRIN	2015.87680	2.84647
KTCH	2015.87680	-0.82355
LAM8	2015.96710	0.62617
LAMJ	2015.87680	-2.30540
LARM	2015.87680	3.15708
LEPE	2015.87680	-3.19349
LFKD	2015.87680	-33.58791
LIDO	2015.87680	4.23272
MESA	2015.87680	-0.77987
MESO	2015.87680	2.26328
NAFP	2015.87680	-2.79460
PAT0	2015.87680	-0.48214
PATR	2015.87680	-0.16402
PAXO	2015.87680	5.08897
PONT	2015.87680	-384.69388
PSAR	2015.87680	-0.00058
PSAT	2015.87680	3.23695
PVOG	2016.00000	-0.57829
PYL1	2015.87680	1.30487
PYRG	2015.87680	-0.32364
RETS	2015.87680	0.76575
RGNI	2015.88770	-1.40080
RLSO	2015.87680	0.20626
ROD3	2015.87680	5.95896
SISS	2016.10680	-25.50790
SPAN	2015.87680	-64.61563
SRND	2016.07120	0.00000
STRF	2016.76110	0.00000
TRIZ	2015.87680	2.21180
VALI	2015.87680	-0.28603
VLSM	2015.87680	-16.62202
VLY1	2016.07670	-5.27601
XILI	2015.87680	1.06948
ZAK2	2015.87680	-2.90794
U
ABEL	2015.87950	0.00000
AGRI	2015.87680	0.00000
AIGI	2015.94520	0.00000
AMFI	2015.89600	0.00000
ANOC	2015.87680	0.00000
ARSA	2015.87680	0.00000
ART1	2015.87680	0.00000
ASSO	2015.94520	0.00000
DRA1	2015.89600	0.00000
EGIO	2016.51200	0.00000
EXAN	2015.89870	0.00000
EYPA	2015.87680	0.00000
FISK	2015.91790	0.00000
GAL3	2015.87680	0.00000
GEYB	2015.88230	0.00000
HIMA	2015.87680	0.00000
IGOU	2015.87680	0.00000
ITEA	2015.87680	0.00000
KARP	2015.87680	0.00000
KASI	2015.87680	0.00000
KIPO	2015.88230	0.00000
KLOK	2015.87680	0.00000
KOPA	2015.87680	0.00000
KOUN	2015.87680	0.00000
KRDI	2015.87680	0.00000
KRIN	2015.87680	0.00000
KTCH	2015.87680	0.00000
LAM8	2015.96710	0.00000
LAMJ	2015.87680	0.00000
LARM	2015.87680	0.00000
LEPE	2015.87680	0.00000
LFKD	2015.87680	0.00000
LIDO	2015.87680	0.00000
MESA	2015.87680	0.00000
MESO	2015.87680	0.00000
NAFP	2015.87680	0.00000
PAT0	2015.87680	0.00000
PATR	2015.87680	0.00000
PAXO	2015.87680	0.00000
PONT	2015.87680	0.00000
PSAR	2015.87680	0.00000
PSAT	2015.87680	0.00000
PVOG	2016.00000	0.00000
